"Province_State" "Country_Region" "Confirmed" "Deaths"
"New Zealand" "New Zealand" 5899 28
"Nicaragua" "Nicaragua" 16422 207
"Niger" "Niger" 6260 208
"Nigeria" "Nigeria" 211330 2884
"North Macedonia" "North Macedonia" 200412 7072
"Norway" "Norway" 202554 895
"Oman" "Oman" 304205 4111
"Azad Jammu and Kashmir" "Pakistan" 34450 740
"Balochistan" "Pakistan" 33211 355
"Gilgit-Baltistan" "Pakistan" 10387 186
"Islamabad" "Pakistan" 106777 938
"Khyber Pakhtunkhwa" "Pakistan" 177646 5729
"Punjab" "Pakistan" 439450 12902
"Sindh" "Pakistan" 468401 7555
"Palau" "Palau" 8 0
"Panama" "Panama" 471884 7314
"Papua New Guinea" "Papua New Guinea" 28209 335
"Paraguay" "Paraguay" 460815 16233
"Amazonas" "Peru" 31792 1258
"Ancash" "Peru" 77754 6670
"Apurimac" "Peru" 26268 1508
"Arequipa" "Peru" 115310 9676
"Ayacucho" "Peru" 34071 2116
"Cajamarca" "Peru" 65991 4131
"Callao" "Peru" 101260 9977
"Cusco" "Peru" 73992 4783
"Huancavelica" "Peru" 16238 1160
"Huanuco" "Peru" 35662 2698
"Ica" "Peru" 59196 8362
"Junin" "Peru" 86683 7013
"La Libertad" "Peru" 88926 10193
"Lambayeque" "Peru" 61879 8608
"Lima" "Peru" 958685 88693
"Loreto" "Peru" 45108 4175
"Madre de Dios" "Peru" 13907 773
"Moquegua" "Peru" 29674 1515
"Pasco" "Peru" 15861 1049
"Piura" "Peru" 88437 11989
"Puno" "Peru" 40607 4161
"San Martin" "Peru" 48769 3006
"Tacna" "Peru" 29958 1951
"Tumbes" "Peru" 18902 1563
"Ucayali" "Peru" 32122 3090
"Philippines" "Philippines" 2765672 42077
"Poland" "Poland" 2982143 76540
"Portugal" "Portugal" 1086280 18141
"Qatar" "Qatar" 238742 609
"Romania" "Romania" 1587880 45503
"Adygea Republic" "Russia" 21189 540
"Altai Krai" "Russia" 86306 4785
"Altai Republic" "Russia" 22627 397
"Amur Oblast" "Russia" 38949 479
"Arkhangelsk Oblast" "Russia" 98260 1239
"Astrakhan Oblast" "Russia" 65021 1929
"Bashkortostan Republic" "Russia" 82818 2446
"Belgorod Oblast" "Russia" 60751 1285
"Bryansk Oblast" "Russia" 73910 1786
"Buryatia Republic" "Russia" 62161 1954
"Chechen Republic" "Russia" 24700 694
"Chelyabinsk Oblast" "Russia" 106679 4102
"Chukotka Autonomous Okrug" "Russia" 2282 19
"Chuvashia Republic" "Russia" 36963 2673
"Dagestan Republic" "Russia" 55213 2719
"Ingushetia Republic" "Russia" 23268 363
"Irkutsk Oblast" "Russia" 119430 5250
"Ivanovo Oblast" "Russia" 54201 1802
"Jewish Autonomous Okrug" "Russia" 9027 288
"Kabardino-Balkarian Republic" "Russia" 34482 908
"Kaliningrad Oblast" "Russia" 62657 840
"Kalmykia Republic" "Russia" 32011 647
"Kaluga Oblast" "Russia" 52064 830
"Kamchatka Krai" "Russia" 20785 424
"Karachay-Cherkess Republic" "Russia" 27095 733
"Karelia Republic" "Russia" 73066 957
"Kemerovo Oblast" "Russia" 61884 1436
"Khabarovsk Krai" "Russia" 92123 892
