"Province_State";"Country_Region";"Lat";"Long_";"Confirmed";"Deaths"
"P.A. Bolzano";"Italy";46.49933453;11.35662422;84499;1227
"P.A. Trento";"Italy";46.06893511;11.12123097;50912;1384
"Piemonte";"Italy";45.0732745;7.680687483;393134;11864
"Puglia";"Italy";41.12559576;16.86736689;277380;6873
"Sardegna";"Italy";39.21531192;9.110616306;77857;1683
"Sicilia";"Italy";38.11569725;13.3623567;318511;7146
"Toscana";"Italy";43.76923077;11.25588885;297408;7368
"Umbria";"Italy";43.10675841;12.38824698;66866;1478
"Valle d'Aosta";"Italy";45.73750286;7.320149366;12743;477
"Veneto";"Italy";45.43490485;12.33845213;500801;11907
"Jamaica";"Jamaica";18.1096;-77.2975;90705;2358
"Aichi";"Japan";35.035551;137.211621;106827;1159
"Akita";"Japan";39.748679;140.408228;1925;27
"Aomori";"Japan";40.781541;140.828896;5897;38
"Chiba";"Japan";35.510141;140.198917;100426;1027
"Ehime";"Japan";33.624835;132.856842;5409;82
"Fukui";"Japan";35.846614;136.224654;3115;38
"Fukuoka";"Japan";33.526032;130.666949;74568;622
"Fukushima";"Japan";37.378867;140.223295;9487;176
"Gifu";"Japan";35.778671;137.055925;18899;218
"Gunma";"Japan";36.504479;138.985605;16847;176
"Hiroshima";"Japan";34.605309;132.788719;22152;202
"Hokkaido";"Japan";43.385711;142.552318;61056;1472
"Hyogo";"Japan";35.039913;134.828057;78653;1396
"Ibaraki";"Japan";36.303588;140.319591;24446;220
"Ishikawa";"Japan";36.769464;136.771027;7968;129
"Iwate";"Japan";39.593287;141.361777;3487;53
"Kagawa";"Japan";34.217292;133.969047;4702;38
"Kagoshima";"Japan";31.009484;130.430665;9103;66
"Kanagawa";"Japan";35.415312;139.338983;169188;1312
"Kochi";"Japan";33.422519;133.367307;4167;33
"Kumamoto";"Japan";32.608154;130.745231;14395;136
"Kyoto";"Japan";35.253815;135.443341;35978;291
"Mie";"Japan";34.508018;136.376013;14810;163
"Miyagi";"Japan";38.446859;140.927086;16276;118
"Miyazaki";"Japan";32.193204;131.299374;6137;41
"Nagano";"Japan";36.132134;138.045528;8883;97
"Nagasaki";"Japan";33.235712;129.608033;6119;73
"Nara";"Japan";34.317451;135.871644;15641;149
"Niigata";"Japan";37.521819;138.918647;8015;61
"Oita";"Japan";33.200697;131.43324;8186;84
"Okayama";"Japan";34.89246;133.826252;15513;136
"Okinawa";"Japan";25.768923;126.668016;50298;398
"Osaka";"Japan";34.620965;135.507481;203027;3062
"Port Quarantine";"Japan";NA;NA;4463;4
"Saga";"Japan";33.286977;130.115738;5866;30
"Saitama";"Japan";35.997101;139.347635;115779;1055
"Shiga";"Japan";35.215827;136.138064;12432;104
"Shimane";"Japan";35.07076;132.554064;1731;5
"Shizuoka";"Japan";34.916975;138.407784;26781;209
"Tochigi";"Japan";36.689912;139.819213;15478;117
"Tokushima";"Japan";33.919178;134.242091;3291;66
"Tokyo";"Japan";35.711343;139.446921;382089;3163
"Tottori";"Japan";35.359069;133.863619;1669;5
"Toyama";"Japan";36.637464;137.269346;4867;52
"Wakayama";"Japan";33.911879;135.505446;5299;62
"Yamagata";"Japan";38.448396;140.102154;3554;56
"Yamaguchi";"Japan";34.20119;131.573293;5788;93
